symbol,entry_date,exit_date,entry_price,exit_price,shares,pnl,pnl_pct,hold_days,exit_reason,t_statistic,composite_score,kelly_fraction,regime,composite_proxy,health_proxy
DVN,2021-02-16,2021-03-16,20.9,24.1,210,671.48,0.153,20,trail_profit,0.4531,0.7364,0.04,NEUTRAL/TRENDING,1.941,0.405
RIOT,2021-03-10,2021-03-17,56.51,54.33,60,-130.72,-0.0386,5,trail_loss,0.2588,0.5217,0.0308,NEUTRAL/MIXED,1.31,0.184
UBER,2021-03-10,2021-03-18,57.73,56.18,60,-92.82,-0.0268,6,trail_loss,0.3493,0.5352,0.0313,NEUTRAL/MIXED,-0.678,-0.202
KMI,2021-03-09,2021-03-19,15.67,15.9,227,52.67,0.0148,8,momentum_break,0.4264,0.7341,0.0316,NEUTRAL/TRENDING,1.869,-0.267
NOK,2021-03-16,2021-03-19,4.25,3.98,837,-224.67,-0.0632,3,trail_loss,0.4335,0.6882,0.0317,NEUTRAL/TRENDING,-0.091,-0.653
HPE,2021-02-26,2021-03-22,14.58,15.32,236,175.19,0.0509,16,momentum_break,0.3713,0.623,0.0312,NEUTRAL/TRENDING,1.986,-0.131
SCHW,2021-02-22,2021-03-23,63.02,63.42,55,22.05,0.0064,21,trail_profit,0.322,0.5576,0.031,NEUTRAL/TRENDING,1.91,-0.12
CNQ,2021-03-12,2021-03-23,32.24,30.25,105,-208.89,-0.0617,7,trail_loss,0.2248,0.4108,0.0305,NEUTRAL/TRENDING,1.793,-0.927
CVS,2021-03-10,2021-03-24,72.77,72.08,48,-33.1,-0.0095,10,trail_loss,0.4045,0.763,0.0318,NEUTRAL/TRENDING,0.693,-0.677
NBIS,2021-03-17,2021-03-24,68.61,64.43,51,-213.09,-0.0609,5,trail_loss,0.3317,0.6115,0.0314,NEUTRAL/MIXED,-0.737,-0.816
EWJ,2021-03-18,2021-03-24,70.21,69.15,50,-53.23,-0.0152,4,trail_loss,0.3895,0.771,0.0317,NEUTRAL/TRENDING,-0.416,-0.314
ABT,2021-03-19,2021-03-25,120.39,117.49,29,-84.21,-0.0241,4,trail_loss,0.4266,0.7388,0.0317,NEUTRAL/TRENDING,-0.419,-0.068
GDX,2021-03-19,2021-03-25,33.85,32.36,103,-153.37,-0.044,4,trail_loss,0.444,0.709,0.0316,NEUTRAL/TRENDING,-0.708,-0.866
NFLX,2021-03-23,2021-03-25,535.44,499.95,6,-212.94,-0.0663,2,trail_loss,0.3639,0.7396,0.0313,NEUTRAL/TRENDING,-1.381,-0.163
WULF,2021-03-24,2021-03-29,11.02,9.76,311,-390.78,-0.114,3,trail_loss,0.3392,0.7878,0.0312,NEUTRAL/MIXED,-1.572,0.132
XLP,2021-03-25,2021-04-01,67.41,67.66,50,12.44,0.0037,5,trail_profit,0.3134,0.5771,0.0312,NEUTRAL/TRENDING,1.695,0.757
BMY,2021-03-23,2021-04-06,62.64,62.42,56,-12.35,-0.0035,9,trail_loss,0.4452,0.7792,0.0318,NEUTRAL/TRENDING,0.581,-0.188
EXC,2021-03-11,2021-04-07,42.06,44.94,83,239.25,0.0685,18,profit_target,0.3708,0.619,0.0315,NEUTRAL/TRENDING,1.292,0.775
T,2021-03-08,2021-04-08,29.98,30.48,117,58.57,0.0167,22,trail_profit,0.4232,0.6998,0.0313,NEUTRAL/TRENDING,0.933,0.453
QXO,2021-03-25,2021-04-08,6.53,7.18,517,334.19,0.099,9,momentum_break,0.3017,0.5008,0.0308,NEUTRAL/TRENDING,1.861,0.22
PFE,2021-03-24,2021-04-09,35.64,35.94,95,28.93,0.0085,11,trail_profit,0.3121,0.613,0.031,NEUTRAL/TRENDING,1.051,-0.102
VZ,2021-03-29,2021-04-09,58.85,58.16,59,-40.91,-0.0118,8,trail_loss,0.3475,0.7269,0.0316,NEUTRAL/TRENDING,0.764,-0.414
NCLH,2021-04-06,2021-04-13,31.08,30.26,140,-115.0,-0.0264,5,trail_loss,0.3431,0.7566,0.0394,NEUTRAL/TRENDING,0.151,-0.225
EWY,2021-03-22,2021-04-15,89.1,93.92,39,187.9,0.0541,17,profit_target,0.4459,0.8059,0.0319,NEUTRAL/MIXED,-0.022,0.887
XLU,2021-03-25,2021-04-16,63.31,67.17,54,208.25,0.0609,15,profit_target,0.3124,0.583,0.0313,NEUTRAL/TRENDING,1.246,1.0
MDT,2021-04-01,2021-04-16,118.25,125.84,37,280.72,0.0642,10,profit_target,0.5029,0.679,0.0402,NEUTRAL/MIXED,0.38,1.0
PINS,2021-04-07,2021-04-16,83.85,78.09,52,-299.4,-0.0687,7,trail_loss,0.3421,0.747,0.0394,NEUTRAL/TRENDING,2.0,-0.127
TSM,2021-04-08,2021-04-20,123.47,117.54,35,-207.52,-0.048,8,trail_loss,0.4777,0.7315,0.0401,NEUTRAL/TRENDING,-0.003,-0.542
USB,2021-04-16,2021-04-21,57.89,56.05,75,-137.96,-0.0318,3,trail_loss,0.4409,0.6346,0.0395,NEUTRAL/MIXED,0.085,-0.565
XLU,2021-04-20,2021-04-26,67.76,66.12,63,-103.02,-0.0241,4,trail_loss,0.3238,0.5787,0.0392,NEUTRAL/TRENDING,0.99,-0.476
GDX,2021-04-08,2021-04-28,34.75,35.09,126,42.9,0.0098,14,trail_profit,0.4941,0.687,0.04,NEUTRAL/TRENDING,1.22,-0.265
ABT,2021-04-21,2021-04-28,122.67,120.53,35,-75.01,-0.0175,5,trail_loss,0.4899,0.7422,0.0401,NEUTRAL/TRENDING,-0.004,0.189
NOW,2021-04-13,2021-04-29,549.09,532.39,7,-116.87,-0.0304,12,trail_loss,0.3842,0.7472,0.0396,NEUTRAL/TRENDING,1.995,0.322
ANET,2021-03-26,2021-04-30,311.54,314.92,13,43.93,0.0108,24,trail_profit,0.3996,0.7888,0.0397,NEUTRAL/TRENDING,1.668,0.85
TSLA,2021-04-15,2021-04-30,739.17,699.71,5,-197.32,-0.0534,11,trail_loss,0.3645,0.6361,0.0395,NEUTRAL/TRENDING,1.605,-0.636
QCOM,2021-04-26,2021-05-03,139.06,137.79,31,-39.23,-0.0091,5,trail_loss,0.5361,0.6511,0.0403,NEUTRAL/MIXED,0.584,0.259
TQQQ,2021-04-09,2021-05-04,107.23,102.52,40,-188.21,-0.0439,17,trail_loss,0.3988,0.714,0.0395,NEUTRAL/TRENDING,1.926,-0.448
