symbol,entry_date,exit_date,entry_price,exit_price,shares,pnl,pnl_pct,hold_days,exit_reason,t_statistic,composite_score,kelly_fraction,regime
TSLA,2021-06-16,2021-07-06,604.85,667.93,14,883.07,0.1043,13,stop_loss,1.692,0.3903,0.08,NEUTRAL
ABBV,2021-07-09,2021-07-15,116.64,116.02,73,-44.97,-0.0053,4,stop_loss,1.7718,0.4087,0.08,NEUTRAL
INTC,2021-07-09,2021-07-15,56.0,55.8,152,-30.44,-0.0036,4,stop_loss,1.6637,0.3837,0.08,NEUTRAL
SNOW,2021-07-13,2021-07-15,264.59,255.5,32,-290.76,-0.0343,2,stop_loss,2.256,0.5203,0.08,NEUTRAL
AMGN,2021-07-20,2021-07-29,247.13,242.4,34,-160.91,-0.0191,7,stop_loss,1.8889,0.4357,0.08,NEUTRAL
PFE,2021-07-20,2021-07-29,41.08,42.69,207,333.58,0.0392,7,stop_loss,1.6962,0.3912,0.08,NEUTRAL
CMCSA,2021-08-19,2021-08-26,58.96,59.07,144,15.13,0.0018,5,stop_loss,1.811,0.4177,0.08,NEUTRAL
OXY,2021-09-01,2021-09-08,25.09,25.13,344,13.92,0.0016,4,stop_loss,2.0208,0.4661,0.08,NEUTRAL
NVDA,2021-07-29,2021-09-10,196.75,224.76,43,1204.33,0.1424,30,time_stop,1.8846,0.4347,0.08,NEUTRAL
COST,2021-09-09,2021-09-13,466.17,460.65,18,-99.45,-0.0119,2,stop_loss,1.6791,0.3873,0.08,NEUTRAL
COST,2021-09-13,2021-09-20,459.98,455.41,18,-82.22,-0.0099,5,stop_loss,1.8929,0.4366,0.08,NEUTRAL
NVDA,2021-09-15,2021-09-20,223.56,210.24,38,-505.98,-0.0596,3,stop_loss,1.91,0.4405,0.08,NEUTRAL
KHC,2021-09-16,2021-09-20,36.57,35.85,235,-168.21,-0.0196,2,stop_loss,1.819,0.4196,0.08,NEUTRAL
NVDA,2021-09-22,2021-09-27,219.44,216.13,39,-129.17,-0.0151,3,stop_loss,1.8224,0.4203,0.08,NEUTRAL
NCLH,2021-09-21,2021-09-28,25.02,27.84,342,965.36,0.1128,5,stop_loss,1.7792,0.4104,0.08,NEUTRAL
UBER,2021-09-22,2021-09-29,44.92,44.93,190,2.18,0.0003,5,stop_loss,1.6771,0.3868,0.08,NEUTRAL
CCL,2021-09-23,2021-09-29,24.72,25.85,347,391.46,0.0456,4,stop_loss,1.6821,0.388,0.08,NEUTRAL
NCLH,2021-09-28,2021-09-30,27.94,26.65,312,-403.8,-0.0463,2,stop_loss,1.8058,0.4165,0.08,NEUTRAL
NVDA,2021-09-27,2021-10-04,216.65,200.9,40,-630.02,-0.0727,5,stop_loss,1.8488,0.4264,0.08,NEUTRAL
DAL,2021-09-28,2021-10-06,43.48,43.96,200,95.67,0.011,6,stop_loss,1.6849,0.3886,0.08,NEUTRAL
CCL,2021-09-30,2021-10-06,25.01,25.0,344,-4.36,-0.0005,4,stop_loss,1.7122,0.3949,0.08,NEUTRAL
V,2021-10-05,2021-10-11,224.38,225.02,38,24.14,0.0028,4,stop_loss,1.6827,0.3881,0.08,NEUTRAL
COIN,2021-10-05,2021-10-12,240.11,250.7,35,370.82,0.0441,5,stop_loss,1.7147,0.3955,0.08,NEUTRAL
OXY,2021-10-06,2021-10-13,32.02,32.42,268,105.92,0.0123,5,stop_loss,1.7023,0.3926,0.08,NEUTRAL
COIN,2021-10-12,2021-10-18,249.67,292.14,34,1444.11,0.1701,4,take_profit,2.0063,0.4628,0.08,NEUTRAL
LLY,2021-10-11,2021-10-26,233.82,238.84,37,185.81,0.0215,11,stop_loss,1.8007,0.4153,0.08,NEUTRAL
SNOW,2021-10-11,2021-11-02,309.98,362.21,27,1410.18,0.1685,16,take_profit,1.7361,0.4004,0.08,NEUTRAL
PFE,2021-11-01,2021-11-03,43.68,44.62,203,190.53,0.0215,2,stop_loss,1.8643,0.43,0.08,NEUTRAL
ABNB,2021-11-02,2021-11-05,173.04,193.41,51,1039.04,0.1177,3,take_profit,2.0638,0.476,0.08,NEUTRAL
COIN,2021-10-21,2021-11-09,300.16,366.38,29,1920.28,0.2206,13,take_profit,1.7042,0.3931,0.08,NEUTRAL
NCLH,2021-11-04,2021-11-09,26.83,27.88,335,351.68,0.0391,3,stop_loss,1.7965,0.4144,0.08,NEUTRAL
CCL,2021-11-04,2021-11-09,22.89,24.04,392,450.92,0.0503,3,stop_loss,1.7709,0.4085,0.08,NEUTRAL
AAL,2021-11-04,2021-11-11,20.64,21.4,435,329.05,0.0366,5,stop_loss,1.8603,0.4291,0.08,NEUTRAL
INTC,2021-11-09,2021-11-18,51.24,49.38,180,-334.81,-0.0363,7,stop_loss,1.9266,0.4444,0.08,NEUTRAL
GIS,2021-11-17,2021-11-19,63.15,62.22,145,-134.99,-0.0147,2,stop_loss,1.6642,0.3839,0.08,NEUTRAL
PEP,2021-11-19,2021-11-23,163.97,163.71,56,-14.33,-0.0016,2,stop_loss,1.7859,0.4119,0.08,NEUTRAL
PEP,2021-11-24,2021-11-30,163.83,161.34,56,-139.33,-0.0152,3,stop_loss,1.8493,0.4265,0.08,NEUTRAL
ORCL,2021-11-26,2021-11-30,92.39,91.5,99,-87.66,-0.0096,2,stop_loss,1.6576,0.3823,0.08,NEUTRAL
HAL,2021-11-29,2021-12-02,22.26,21.11,411,-472.07,-0.0516,3,stop_loss,1.6991,0.3919,0.08,NEUTRAL
LLY,2021-11-29,2021-12-02,255.13,247.02,35,-283.85,-0.0318,3,stop_loss,1.6504,0.3807,0.08,NEUTRAL
SBUX,2021-11-30,2021-12-02,109.68,109.79,83,9.34,0.001,2,stop_loss,2.1497,0.4958,0.08,NEUTRAL
PFE,2021-12-02,2021-12-06,53.0,51.55,171,-247.63,-0.0273,2,stop_loss,1.9649,0.4532,0.08,NEUTRAL
PYPL,2021-12-07,2021-12-13,191.2,185.81,47,-253.38,-0.0282,4,stop_loss,1.9625,0.4526,0.08,NEUTRAL
DE,2021-11-29,2021-12-14,348.22,346.66,26,-40.62,-0.0045,11,stop_loss,1.6689,0.3849,0.08,NEUTRAL
DIS,2021-12-07,2021-12-14,150.85,148.55,60,-137.94,-0.0152,5,stop_loss,1.9241,0.4438,0.08,NEUTRAL
GIS,2021-11-30,2021-12-15,61.82,66.66,148,715.82,0.0782,11,take_profit,2.1974,0.5068,0.08,NEUTRAL
LMT,2021-12-07,2021-12-15,339.34,340.47,26,29.46,0.0033,6,stop_loss,1.6742,0.3862,0.08,NEUTRAL
PEP,2021-12-02,2021-12-16,160.77,172.73,56,669.96,0.0744,10,take_profit,1.8203,0.4199,0.08,NEUTRAL
PYPL,2021-12-13,2021-12-17,186.46,183.8,49,-130.44,-0.0143,4,stop_loss,1.7327,0.3996,0.08,NEUTRAL
PFE,2021-12-17,2021-12-21,59.45,58.05,154,-215.64,-0.0236,2,stop_loss,1.8912,0.4362,0.08,NEUTRAL
COIN,2021-12-23,2021-12-29,268.16,257.6,34,-359.1,-0.0394,3,stop_loss,1.7,0.3921,0.08,NEUTRAL
CCL,2021-12-27,2021-12-31,20.98,20.07,435,-395.01,-0.0433,4,stop_loss,2.2367,0.5159,0.08,NEUTRAL
PFE,2021-12-21,2022-01-03,58.97,56.84,155,-329.71,-0.0361,8,stop_loss,2.5857,0.5964,0.08,NEUTRAL
NET,2021-12-23,2022-01-03,137.33,123.61,66,-905.59,-0.0999,6,stop_loss,1.846,0.4258,0.08,NEUTRAL
DDOG,2021-12-28,2022-01-03,177.56,166.62,51,-558.04,-0.0616,4,stop_loss,1.7307,0.3992,0.08,NEUTRAL
COIN,2021-12-29,2022-01-05,252.63,238.4,35,-498.19,-0.0563,5,stop_loss,1.6868,0.3891,0.08,NEUTRAL
TSLA,2021-12-30,2022-01-05,1071.39,1117.2,8,366.46,0.0428,4,stop_loss,1.9895,0.4589,0.08,NEUTRAL
ABNB,2021-12-31,2022-01-05,166.47,165.09,54,-74.52,-0.0083,3,stop_loss,1.7332,0.3998,0.08,NEUTRAL
UBER,2021-12-22,2022-01-06,43.04,43.05,212,3.04,0.0003,10,stop_loss,1.7174,0.3961,0.08,NEUTRAL
PYPL,2022-01-04,2022-01-06,191.12,186.34,47,-224.86,-0.025,2,stop_loss,1.7331,0.3997,0.08,NEUTRAL
GE,2021-12-29,2022-01-10,94.86,99.09,95,401.4,0.0445,8,stop_loss,1.7509,0.4039,0.08,NEUTRAL
KHC,2021-12-21,2022-01-11,35.02,36.93,261,499.42,0.0546,14,stop_loss,2.3067,0.532,0.08,NEUTRAL
AAL,2021-12-28,2022-01-12,18.56,18.42,494,-70.27,-0.0077,11,stop_loss,1.6978,0.3916,0.08,NEUTRAL
PEP,2022-01-20,2022-01-24,174.06,173.65,51,-20.92,-0.0024,2,stop_loss,2.2652,0.5225,0.08,NEUTRAL
AMGN,2022-01-20,2022-01-24,229.01,225.13,39,-151.32,-0.0169,2,stop_loss,1.736,0.4004,0.08,NEUTRAL
CMCSA,2022-01-21,2022-01-25,49.76,49.39,179,-66.15,-0.0074,2,stop_loss,1.7213,0.397,0.08,NEUTRAL
PEP,2022-01-24,2022-01-26,173.49,166.82,51,-340.35,-0.0385,2,stop_loss,2.0144,0.4646,0.08,NEUTRAL
GIS,2022-01-25,2022-02-04,68.38,67.62,130,-99.13,-0.0112,8,stop_loss,1.8773,0.433,0.08,NEUTRAL
PFE,2022-01-28,2022-02-08,54.37,50.65,163,-605.6,-0.0683,7,stop_loss,1.8841,0.4346,0.08,NEUTRAL
NET,2022-02-02,2022-02-11,99.58,110.45,89,967.2,0.1091,7,stop_loss,1.6715,0.3855,0.08,NEUTRAL
COIN,2022-02-08,2022-02-11,208.64,193.12,42,-651.8,-0.0744,3,stop_loss,1.7574,0.4053,0.08,NEUTRAL
SNOW,2022-02-09,2022-02-11,308.24,298.86,28,-262.58,-0.0304,2,stop_loss,1.6848,0.3886,0.08,NEUTRAL
ORCL,2022-02-14,2022-02-17,78.97,77.34,112,-183.05,-0.0207,3,stop_loss,1.6671,0.3845,0.08,NEUTRAL
ABNB,2022-02-17,2022-02-22,183.69,162.33,48,-1025.34,-0.1163,2,stop_loss,2.0673,0.4768,0.08,NEUTRAL
SQ,2022-02-15,2022-02-23,115.25,89.87,76,-1929.26,-0.2203,5,stop_loss,1.7989,0.4149,0.08,NEUTRAL
MU,2022-02-17,2022-02-23,93.83,88.62,94,-489.66,-0.0555,3,stop_loss,1.7061,0.3935,0.08,NEUTRAL
SLB,2022-02-22,2022-02-24,39.57,37.92,219,-360.69,-0.0416,2,stop_loss,1.76,0.4059,0.08,NEUTRAL
