symbol,direction,entry_price,exit_price,shares,pnl_net,pnl_gross,hold_minutes,exit_reason,score,hurst,ir,entry_time,exit_time
GOOGL,short,296.95874615478516,300.79998779296875,7,-29.04,-26.89,120,TIME,0.5385,0.5,-0.0108,2026-03-09 14:25:00+00:00,2026-03-09 16:25:00+00:00
AAPL,short,256.5016898803711,256.5016898803711,7,-1.85,0.0,40,STOP,0.7692,0.5,-0.3571,2026-03-09 17:25:00+00:00,2026-03-09 18:05:00+00:00
META,short,636.4016107177735,634.3350219726562,3,4.24,6.2,120,TIME,0.5385,0.5,-0.0228,2026-03-09 16:25:00+00:00,2026-03-09 18:25:00+00:00
TSLA,short,388.8155047607422,392.44,6,-24.16,-21.75,75,STOP,0.8462,0.5,-0.2247,2026-03-09 17:25:00+00:00,2026-03-09 18:40:00+00:00
SPY,short,668.5105482177735,671.92,3,-12.29,-10.23,110,STOP,0.7692,0.5,-0.4214,2026-03-09 17:25:00+00:00,2026-03-09 19:15:00+00:00
NVDA,short,179.30030438995362,180.91,15,-26.92,-24.15,115,STOP,0.7692,0.5,-0.3083,2026-03-09 17:25:00+00:00,2026-03-09 19:20:00+00:00
SPY,short,675.5120505981446,681.3699951171875,3,-19.67,-17.57,120,TIME,0.5385,0.5,-0.3656,2026-03-10 13:55:00+00:00,2026-03-10 15:55:00+00:00
META,short,657.8484014892579,657.8484014892579,3,-2.03,0.0,40,STOP,0.5385,0.5,-0.0155,2026-03-10 16:55:00+00:00,2026-03-10 17:35:00+00:00
MSFT,short,405.84418708801275,405.84418708801275,6,-2.5,0.0,55,STOP,0.5385,0.5,-0.4804,2026-03-10 16:55:00+00:00,2026-03-10 17:50:00+00:00
TSLA,short,401.87397470092776,401.6953085449219,5,-1.17,0.89,15,TRAIL,0.5385,0.5,-0.024,2026-03-10 17:55:00+00:00,2026-03-10 18:10:00+00:00
SPY,short,681.7059735717773,681.1823755859375,3,-0.53,1.57,15,TRAIL,0.5385,0.5,-0.0009,2026-03-10 17:55:00+00:00,2026-03-10 18:10:00+00:00
GOOGL,short,308.1458377990723,307.92798779296874,8,-0.79,1.74,30,TRAIL,0.8462,0.5,-0.1376,2026-03-10 17:55:00+00:00,2026-03-10 18:25:00+00:00
AAPL,short,261.1943497009278,261.1943497009278,7,-1.88,0.0,25,STOP,0.8462,0.5,-0.2665,2026-03-10 18:55:00+00:00,2026-03-10 19:20:00+00:00
TSLA,short,400.3748162078858,400.3748162078858,6,-2.47,0.0,45,STOP,0.8462,0.5,-0.0727,2026-03-10 18:55:00+00:00,2026-03-10 19:40:00+00:00
AAPL,short,260.5896412200928,260.5896412200928,6,-1.61,0.0,80,STOP,0.5692,0.5,0.0061,2026-03-10 19:55:00+00:00,2026-03-11 14:45:00+00:00
TSLA,short,411.70532975769044,407.4100036621094,5,19.37,21.48,120,TIME,0.5385,0.5,-0.4026,2026-03-11 14:25:00+00:00,2026-03-11 16:25:00+00:00
NVDA,short,184.98245944976807,185.61000061035156,13,-10.63,-8.16,120,TIME,0.5846,0.5,-0.7838,2026-03-11 15:25:00+00:00,2026-03-11 17:25:00+00:00
NVDA,short,185.5171956100464,185.58470375976563,13,-3.36,-0.88,10,STOP,0.5385,0.5,-0.0001,2026-03-11 17:25:00+00:00,2026-03-11 17:35:00+00:00
QQQ,short,607.9658845214844,607.582129296875,3,-0.72,1.15,10,TRAIL,0.5385,0.5,-0.0086,2026-03-11 17:25:00+00:00,2026-03-11 17:35:00+00:00
META,short,651.50910446167,648.637009765625,3,6.61,8.62,95,TRAIL,0.5385,0.5,-0.0969,2026-03-11 18:25:00+00:00,2026-03-12 13:30:00+00:00
GOOGL,short,307.97593988037113,307.6777012207031,8,-0.15,2.39,35,TRAIL,0.8462,0.5,-0.0271,2026-03-11 19:25:00+00:00,2026-03-12 13:30:00+00:00
QQQ,short,606.2267642822266,603.4094122070312,3,6.59,8.45,35,TRAIL,0.5385,0.5,-0.0934,2026-03-11 19:25:00+00:00,2026-03-12 13:30:00+00:00
TSLA,short,399.6400763397217,399.6400763397217,5,-2.05,0.0,45,STOP,0.5385,0.5,-0.0012,2026-03-12 16:55:00+00:00,2026-03-12 17:40:00+00:00
NVDA,short,183.45432375335693,183.45432375335693,15,-2.83,0.0,90,STOP,0.8462,0.5,-0.2645,2026-03-12 17:55:00+00:00,2026-03-12 19:25:00+00:00
AAPL,short,255.622125,255.622125,6,-1.58,0.0,5,STOP,0.5385,0.5,-0.1323,2026-03-12 19:55:00+00:00,2026-03-13 13:30:00+00:00
GOOGL,short,303.3582547607422,305.26,8,-17.72,-15.21,5,STOP,0.7692,0.5,-0.7191,2026-03-12 19:55:00+00:00,2026-03-13 13:30:00+00:00
GOOGL,short,304.0079236602783,302.2337853515625,8,11.7,14.19,105,TRAIL,0.7692,0.5,-0.3255,2026-03-13 15:25:00+00:00,2026-03-13 17:10:00+00:00
QQQ,short,600.15979196167,600.15979196167,3,-1.85,0.0,40,STOP,0.5385,0.5,-0.2849,2026-03-16 15:55:00+00:00,2026-03-16 16:35:00+00:00
META,short,629.2851755981445,625.989990234375,4,10.6,13.18,120,TIME,0.8462,0.5,-0.0101,2026-03-16 14:55:00+00:00,2026-03-16 16:55:00+00:00
NVDA,short,184.34778244018557,183.83399963378906,15,4.87,7.71,120,TIME,0.8,0.5,0.1743,2026-03-16 16:55:00+00:00,2026-03-16 18:55:00+00:00
NVDA,short,183.7420826339722,183.7420826339722,15,-2.83,0.0,10,STOP,0.7692,0.5,-0.3391,2026-03-16 18:55:00+00:00,2026-03-16 19:05:00+00:00
QQQ,short,600.3496994018554,603.77,3,-12.12,-10.26,75,STOP,0.5385,0.5,-0.0789,2026-03-16 17:55:00+00:00,2026-03-16 19:10:00+00:00
AAPL,short,252.6136354904175,252.6136354904175,7,-1.82,0.0,25,STOP,0.8462,0.5,-0.2053,2026-03-16 18:55:00+00:00,2026-03-16 19:20:00+00:00
SPY,short,669.2701779785157,669.2701779785157,3,-2.06,0.0,30,STOP,0.5385,0.5,-0.0842,2026-03-16 18:55:00+00:00,2026-03-16 19:25:00+00:00
TSLA,short,396.37172232055667,396.37172232055667,6,-2.44,0.0,105,STOP,0.7692,0.5,-0.2374,2026-03-16 17:55:00+00:00,2026-03-16 19:40:00+00:00
SPY,short,668.6255419616699,671.48,3,-10.63,-8.56,5,STOP,0.8462,0.5,-0.0026,2026-03-16 19:55:00+00:00,2026-03-17 13:30:00+00:00
SPY,short,671.2991922607422,671.2991922607422,3,-2.07,0.0,10,STOP,0.8462,0.5,-0.2032,2026-03-17 15:25:00+00:00,2026-03-17 15:35:00+00:00
QQQ,short,604.3176851196289,603.4199829101562,4,1.11,3.59,120,TIME,0.8462,0.5,-0.024,2026-03-17 14:25:00+00:00,2026-03-17 16:25:00+00:00
AAPL,short,253.97295610046388,253.97295610046388,6,-1.57,0.0,50,STOP,0.5385,0.5,-0.1396,2026-03-17 18:25:00+00:00,2026-03-17 19:15:00+00:00
MSFT,short,399.61009255981446,398.8136901855469,7,2.7,5.57,120,TIME,0.8462,0.5,-0.0762,2026-03-17 17:25:00+00:00,2026-03-17 19:25:00+00:00
TSLA,short,397.80100000000004,401.37,5,-19.9,-17.84,95,STOP,0.5385,0.5,-0.3291,2026-03-17 18:25:00+00:00,2026-03-18 13:30:00+00:00
QQQ,short,602.9084169616699,602.6735926757813,4,-1.54,0.94,105,TRAIL,0.7692,0.5,-0.3056,2026-03-17 18:25:00+00:00,2026-03-18 13:40:00+00:00
NVDA,short,182.36877671051028,182.36877671051028,15,-2.81,0.0,100,STOP,0.8462,0.5,-0.0055,2026-03-18 15:55:00+00:00,2026-03-18 17:35:00+00:00
META,short,620.1398482055664,620.1398482055664,4,-2.55,0.0,120,STOP,0.5385,0.5,-0.3191,2026-03-18 15:55:00+00:00,2026-03-18 17:55:00+00:00
GOOGL,short,310.38672119140625,309.29998779296875,8,6.15,8.69,120,TIME,0.8462,0.5,-0.1388,2026-03-18 15:55:00+00:00,2026-03-18 17:55:00+00:00
